Question,Intent,Answer
planet known gravid red spot,Planet_Info,Jupiter
planet known outstanding red spot,Planet_Info,Jupiter
planet known keen red spot,Planet_Info,Jupiter
planet known heavy red spot,Planet_Info,Jupiter
planet known large red spot,Planet_Info,Jupiter
atmosphere mar primarily composed,Planet_Info,Carbon dioxide
ambiance mar primarily composed,Planet_Info,Carbon dioxide
atm mar primarily composed,Planet_Info,Carbon dioxide
air mar primarily composed,Planet_Info,Carbon dioxide
ambience mar primarily composed,Planet_Info,Carbon dioxide
standard pressure mar primarily composed,Planet_Info,Carbon dioxide
atmospheric state mar primarily composed,Planet_Info,Carbon dioxide
standard atmosphere mar primarily composed,Planet_Info,Carbon dioxide
aura mar primarily composed,Planet_Info,Carbon dioxide
atmosphere blemish primarily composed,Planet_Info,Carbon dioxide
atmosphere defect primarily composed,Planet_Info,Carbon dioxide
atmosphere deflower primarily composed,Planet_Info,Carbon dioxide
atmosphere March primarily composed,Planet_Info,Carbon dioxide
atmosphere impair primarily composed,Planet_Info,Carbon dioxide
atmosphere Mar primarily composed,Planet_Info,Carbon dioxide
atmosphere vitiate primarily composed,Planet_Info,Carbon dioxide
atmosphere mutilate primarily composed,Planet_Info,Carbon dioxide
atmosphere spoil primarily composed,Planet_Info,Carbon dioxide
atmosphere mar principally composed,Planet_Info,Carbon dioxide
atmosphere mar chiefly composed,Planet_Info,Carbon dioxide
atmosphere mar in the first place composed,Planet_Info,Carbon dioxide
atmosphere mar in the main composed,Planet_Info,Carbon dioxide
atmosphere mar mainly composed,Planet_Info,Carbon dioxide
atmosphere mar primarily pen,Planet_Info,Carbon dioxide
atmosphere mar primarily indite,Planet_Info,Carbon dioxide
atmosphere mar primarily compose,Planet_Info,Carbon dioxide
atmosphere mar primarily write,Planet_Info,Carbon dioxide
atmosphere mar primarily draw up,Planet_Info,Carbon dioxide
atmosphere mar primarily frame,Planet_Info,Carbon dioxide
atmosphere mar primarily compile,Planet_Info,Carbon dioxide
planet extreme temperature variation,Planet_Info,Mercury
satellite extreme temperature variation,Planet_Info,Mercury
major planet extreme temperature variation,Planet_Info,Mercury
planet extreme point temperature variation,Planet_Info,Mercury
planet extremum temperature variation,Planet_Info,Mercury
planet utmost temperature variation,Planet_Info,Mercury
planet uttermost temperature variation,Planet_Info,Mercury
planet extreme temperature magnetic variation,Planet_Info,Mercury
planet extreme temperature variance,Planet_Info,Mercury
planet extreme temperature variant,Planet_Info,Mercury
planet extreme temperature mutant,Planet_Info,Mercury
planet extreme temperature version,Planet_Info,Mercury
planet extreme temperature mutation,Planet_Info,Mercury
planet extreme temperature sport,Planet_Info,Mercury
planet extreme temperature pas seul,Planet_Info,Mercury
planet extreme temperature magnetic declination,Planet_Info,Mercury
planet extreme temperature fluctuation,Planet_Info,Mercury
planet extreme temperature edition,Planet_Info,Mercury
composition saturn ring,Planet_Info,Ice and rock particles
makeup saturn ring,Planet_Info,Ice and rock particles
writing saturn ring,Planet_Info,Ice and rock particles
piece saturn ring,Planet_Info,Ice and rock particles
composing saturn ring,Planet_Info,Ice and rock particles
opus saturn ring,Planet_Info,Ice and rock particles
typography saturn ring,Planet_Info,Ice and rock particles
physical composition saturn ring,Planet_Info,Ice and rock particles
make-up saturn ring,Planet_Info,Ice and rock particles
report saturn ring,Planet_Info,Ice and rock particles
penning saturn ring,Planet_Info,Ice and rock particles
theme saturn ring,Planet_Info,Ice and rock particles
piece of music saturn ring,Planet_Info,Ice and rock particles
musical composition saturn ring,Planet_Info,Ice and rock particles
paper saturn ring,Planet_Info,Ice and rock particles
constitution saturn ring,Planet_Info,Ice and rock particles
authorship saturn ring,Planet_Info,Ice and rock particles
composition Saturn ring,Planet_Info,Ice and rock particles
composition saturn halo,Planet_Info,Ice and rock particles
composition saturn anchor ring,Planet_Info,Ice and rock particles
composition saturn echo,Planet_Info,Ice and rock particles
composition saturn phone,Planet_Info,Ice and rock particles
composition saturn tintinnabulation,Planet_Info,Ice and rock particles
composition saturn surround,Planet_Info,Ice and rock particles
composition saturn call,Planet_Info,Ice and rock particles
composition saturn skirt,Planet_Info,Ice and rock particles
composition saturn environ,Planet_Info,Ice and rock particles
composition saturn doughnut,Planet_Info,Ice and rock particles
composition saturn band,Planet_Info,Ice and rock particles
composition saturn border,Planet_Info,Ice and rock particles
composition saturn gang,Planet_Info,Ice and rock particles
composition saturn mob,Planet_Info,Ice and rock particles
composition saturn knell,Planet_Info,Ice and rock particles
composition saturn reverberate,Planet_Info,Ice and rock particles
composition saturn call up,Planet_Info,Ice and rock particles
composition saturn ringing,Planet_Info,Ice and rock particles
composition saturn annulus,Planet_Info,Ice and rock particles
composition saturn resound,Planet_Info,Ice and rock particles
composition saturn pack,Planet_Info,Ice and rock particles
composition saturn closed chain,Planet_Info,Ice and rock particles
composition saturn telephone,Planet_Info,Ice and rock particles
far earth sun,Distance_Info,93 million miles (150 million kilometers)
Former Armed Forces earth sun,Distance_Info,93 million miles (150 million kilometers)
ALIR earth sun,Distance_Info,93 million miles (150 million kilometers)
Interahamwe earth sun,Distance_Info,93 million miles (150 million kilometers)
FAR earth sun,Distance_Info,93 million miles (150 million kilometers)
Army for the Liberation of Rwanda earth sun,Distance_Info,93 million miles (150 million kilometers)
far globe sun,Distance_Info,93 million miles (150 million kilometers)
far worldly concern sun,Distance_Info,93 million miles (150 million kilometers)
far earthly concern sun,Distance_Info,93 million miles (150 million kilometers)
far terra firma sun,Distance_Info,93 million miles (150 million kilometers)
far Earth sun,Distance_Info,93 million miles (150 million kilometers)
far land sun,Distance_Info,93 million miles (150 million kilometers)
far world sun,Distance_Info,93 million miles (150 million kilometers)
far dry land sun,Distance_Info,93 million miles (150 million kilometers)
far ground sun,Distance_Info,93 million miles (150 million kilometers)
far solid ground sun,Distance_Info,93 million miles (150 million kilometers)
far earth sunlight,Distance_Info,93 million miles (150 million kilometers)
far earth solarize,Distance_Info,93 million miles (150 million kilometers)
far earth Sun,Distance_Info,93 million miles (150 million kilometers)
far earth Lord's Day,Distance_Info,93 million miles (150 million kilometers)
far earth Dominicus,Distance_Info,93 million miles (150 million kilometers)
far earth sunbathe,Distance_Info,93 million miles (150 million kilometers)
far earth solarise,Distance_Info,93 million miles (150 million kilometers)
far earth sunshine,Distance_Info,93 million miles (150 million kilometers)
far earth insolate,Distance_Info,93 million miles (150 million kilometers)
far earth Sunday,Distance_Info,93 million miles (150 million kilometers)
distance jupiter sun,Distance_Info,484 million miles (778 million kilometers)
aloofness jupiter sun,Distance_Info,484 million miles (778 million kilometers)
outdistance jupiter sun,Distance_Info,484 million miles (778 million kilometers)
space jupiter sun,Distance_Info,484 million miles (778 million kilometers)
length jupiter sun,Distance_Info,484 million miles (778 million kilometers)
outstrip jupiter sun,Distance_Info,484 million miles (778 million kilometers)
distance Jupiter sun,Distance_Info,484 million miles (778 million kilometers)
distance Jove sun,Distance_Info,484 million miles (778 million kilometers)
distance jupiter solarize,Distance_Info,484 million miles (778 million kilometers)
distance jupiter solarise,Distance_Info,484 million miles (778 million kilometers)
distance jupiter Lord's Day,Distance_Info,484 million miles (778 million kilometers)
distance jupiter sunlight,Distance_Info,484 million miles (778 million kilometers)
distance jupiter Dominicus,Distance_Info,484 million miles (778 million kilometers)
distance jupiter sunshine,Distance_Info,484 million miles (778 million kilometers)
distance jupiter insolate,Distance_Info,484 million miles (778 million kilometers)
distance jupiter Sun,Distance_Info,484 million miles (778 million kilometers)
distance jupiter Sunday,Distance_Info,484 million miles (778 million kilometers)
distance jupiter sunbathe,Distance_Info,484 million miles (778 million kilometers)
far neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
FAR neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
Army for the Liberation of Rwanda neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
Former Armed Forces neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
Interahamwe neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
ALIR neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far Neptune sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune sunshine,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune insolate,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune sunbathe,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune sunlight,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune solarize,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune Sunday,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune Lord's Day,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune Dominicus,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune Sun,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far neptune solarise,Distance_Info,2.8 billion miles (4.5 billion kilometers)
far pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
ALIR pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
Interahamwe pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
FAR pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
Former Armed Forces pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
Army for the Liberation of Rwanda pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far Hades sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far Pluto sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far Aides sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far Aidoneus sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto solarise,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto sunlight,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto sunbathe,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto Sun,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto insolate,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto solarize,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto Sunday,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto Lord's Day,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto sunshine,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far pluto Dominicus,Distance_Info,3.7 billion miles (5.9 billion kilometers)
far mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
ALIR mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
Army for the Liberation of Rwanda mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
Former Armed Forces mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
FAR mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
Interahamwe mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far blemish earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far Mar earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far March earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mutilate earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far spoil earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far deflower earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far impair earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far defect earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far vitiate earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar dry land,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar Earth,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar earthly concern,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar ground,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar terra firma,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar globe,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar land,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar worldly concern,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar world,Distance_Info,Approximately 34 million miles (55 million kilometers)
far mar solid ground,Distance_Info,Approximately 34 million miles (55 million kilometers)
many moon earth,Moon_Info,1
many daydream earth,Moon_Info,1
many lunar month earth,Moon_Info,1
many moonlight earth,Moon_Info,1
many synodic month earth,Moon_Info,1
many lunation earth,Moon_Info,1
many moonshine earth,Moon_Info,1
many Moon earth,Moon_Info,1
many Sun Myung Moon earth,Moon_Info,1
many moon around earth,Moon_Info,1
many moon on earth,Moon_Info,1
many moon terra firma,Moon_Info,1
many moon dry land,Moon_Info,1
many moon earthly concern,Moon_Info,1
many moon Earth,Moon_Info,1
many moon ground,Moon_Info,1
many moon world,Moon_Info,1
many moon land,Moon_Info,1
many moon worldly concern,Moon_Info,1
many moon solid ground,Moon_Info,1
many moon globe,Moon_Info,1
planet moon,Moon_Info,Jupiter
major planet moon,Moon_Info,Jupiter
satellite moon,Moon_Info,Jupiter
planet Moon,Moon_Info,Jupiter
planet daydream,Moon_Info,Jupiter
planet lunar month,Moon_Info,Jupiter
planet synodic month,Moon_Info,Jupiter
planet Sun Myung Moon,Moon_Info,Jupiter
planet lunation,Moon_Info,Jupiter
planet moonshine,Moon_Info,Jupiter
planet moonlight,Moon_Info,Jupiter
planet moon around,Moon_Info,Jupiter
planet moon on,Moon_Info,Jupiter
largest moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
enceinte moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
declamatory moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
large moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
with child moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
heavy moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
magnanimous moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
expectant moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
turgid moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
gravid moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
big moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
bombastic moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
orotund moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
tumid moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
great moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
prominent moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest moonlight solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest synodic month solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon around solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon on solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest lunar month solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest moonshine solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest daydream solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest lunation solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest Sun Myung Moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest Moon solar system,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon solar scheme,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon solar organisation,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon solar organization,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon solar system of rules,Moon_Info,"Ganymede, a moon of Jupiter"
largest moon solar arrangement,Moon_Info,"Ganymede, a moon of Jupiter"
many moon mar,Moon_Info,2 - Phobos and Deimos
many moon around mar,Moon_Info,2 - Phobos and Deimos
many moon on mar,Moon_Info,2 - Phobos and Deimos
many moonlight mar,Moon_Info,2 - Phobos and Deimos
many daydream mar,Moon_Info,2 - Phobos and Deimos
many Sun Myung Moon mar,Moon_Info,2 - Phobos and Deimos
many lunar month mar,Moon_Info,2 - Phobos and Deimos
many Moon mar,Moon_Info,2 - Phobos and Deimos
many lunation mar,Moon_Info,2 - Phobos and Deimos
many synodic month mar,Moon_Info,2 - Phobos and Deimos
